Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
RETAILFX-1699 - Stuff (1),,,,2024-03-05 13:45:44,2024-03-05 13:58:11,12m - 26.258s,FAILED
,,,,,,,
Test Cases/RETAILFX-SOW2 Market Order/SOW2- RETAILFX-1699 Stuff/SOW2 Staff - Less than 10k MYR to USD,,,,2024-03-05 13:45:45,2024-03-05 13:49:21,3m - 35.911s,FAILED
"startExistingApplication(""com.maybank2u.life.uat"")",,,,2024-03-05 13:45:46,2024-03-05 13:46:02,16.479s,PASSED
convertAmount = 5000.00,,,,2024-03-05 13:46:02,2024-03-05 13:46:02,0.002s,PASSED
utilities.Entry_Point.Quick_Action(5),,,,2024-03-05 13:46:02,2024-03-05 13:48:02,2m - 0.273s,FAILED
delay(5),,,,2024-03-05 13:48:02,2024-03-05 13:48:07,5.011s,PASSED
"checkLinkedDevice = Validation.checkElementExists(""Object Repository/Market Order Page/android.widget.TextView - Enter your password"")",,,,2024-03-05 13:48:07,2024-03-05 13:48:07,0.178s,PASSED
if (checkLinkedDevice == true),,Check is there is password page,,2024-03-05 13:48:07,2024-03-05 13:48:11,3.756s,PASSED
delay(10),,,,2024-03-05 13:48:11,2024-03-05 13:48:21,10.016s,PASSED
"tap(findTestObject(""SOW2-Market Order/android.widget.TextView _EditText""), 0, CONTINUE_ON_FAILURE)",,Tap on the Im converting,,2024-03-05 13:48:21,2024-03-05 13:48:25,4.094s,PASSED
"waitForElementPresent(findTestObject(""Object Repository/Calc_Pad/android.widget.Image""), 20, OPTIONAL)",,,,2024-03-05 13:48:25,2024-03-05 13:48:26,1.031s,PASSED
"digits = ""50000""",,,,2024-03-05 13:48:26,2024-03-05 13:48:26,0.001s,PASSED
currency_Numpad(digits),,,,2024-03-05 13:48:26,2024-03-05 13:48:26,0.007s,PASSED
digit_length = digits.length(),,,,2024-03-05 13:48:26,2024-03-05 13:48:26,0.001s,PASSED
"for ([i = 0, i < digit_length, (i++)])",,,,2024-03-05 13:48:26,2024-03-05 13:48:30,3.854s,PASSED
"tap(findTestObject(""Object Repository/Calc_Pad/android.widget.Image""), 5, OPTIONAL)",,,,2024-03-05 13:48:30,2024-03-05 13:48:30,0.156s,PASSED
delay(5),,,,2024-03-05 13:48:30,2024-03-05 13:48:35,5.010s,PASSED
"utilities.Mobile_Keywords.sow2market_orderdropdown(""US Dol"", ""USD - US Dollar"")",,Select USD,,2024-03-05 13:48:35,2024-03-05 13:48:40,4.280s,PASSED
"verifyElementExist(findTestObject(""Global Account Page/dynamicText"", [""text"":""Exchange rate""]), 0, CONTINUE_ON_FAILURE)",,,,2024-03-05 13:48:40,2024-03-05 13:48:41,1.041s,PASSED
"currency_TextMsg = getText(findTestObject(""General/android.widget.TextView _Conversion""), 0, CONTINUE_ON_FAILURE)",,,,2024-03-05 13:48:41,2024-03-05 13:48:41,0.125s,PASSED
"roundedNumber = Validation.staffConvertUSDToMYR(currency_TextMsg, convertAmount)",,,,2024-03-05 13:48:41,2024-03-05 13:48:41,0.030s,PASSED
"verifyElementExist(findTestObject(""Global Account Page/dynamicText"", [""text"":""Conversion fee""]), 0, CONTINUE_ON_FAILURE)",,,,2024-03-05 13:48:41,2024-03-05 13:48:41,0.097s,PASSED
"verifyElementExist(findTestObject(""Global Account Page/dynamicText"", [""text"":""Amount to receive""]), 0, CONTINUE_ON_FAILURE)",,,,2024-03-05 13:48:41,2024-03-05 13:48:41,0.094s,PASSED
takeScreenshot(),,,,2024-03-05 13:48:41,2024-03-05 13:48:42,0.495s,PASSED
"tap(findTestObject(""SOW2-Market Order/android.widget.Dynamic_Button"", [""text"":""Next""]), 0, CONTINUE_ON_FAILURE)",,Tap Next,,2024-03-05 13:48:42,2024-03-05 13:48:42,0.263s,PASSED
"waitForElementPresent(findTestObject(""Global Account Page/dynamicText"", [""text"":""Step 2 of 2""]), 0, CONTINUE_ON_FAILURE)",,,,2024-03-05 13:48:42,2024-03-05 13:48:43,0.839s,PASSED
"comment(""Account Selection Page"")",,,,2024-03-05 13:48:43,2024-03-05 13:48:43,0.023s,PASSED
"verifyElementExist(findTestObject(""Global Account Page/dynamicText"", [""text"":""Step 2 of 2""]), 0, CONTINUE_ON_FAILURE)",,Verify The labe Step 2 of 2,,2024-03-05 13:48:43,2024-03-05 13:48:43,0.577s,PASSED
takeScreenshot(),,,,2024-03-05 13:48:43,2024-03-05 13:48:44,0.510s,PASSED
"tap(findTestObject(""SOW2-Market Order/android.widget.Dynamic_Button"", [""text"":""Get Quote""]), 0, CONTINUE_ON_FAILURE)",,Tap to get qoute,,2024-03-05 13:48:44,2024-03-05 13:48:44,0.273s,PASSED
"waitForElementPresent(findTestObject(""Global Account Page/dynamicText"", [""text"":""Confirmation""]), 0, CONTINUE_ON_FAILURE)",,Wait for confirmation page to show,,2024-03-05 13:48:44,2024-03-05 13:48:45,0.802s,PASSED
takeScreenshot(CONTINUE_ON_FAILURE),,,,2024-03-05 13:48:45,2024-03-05 13:48:45,0.538s,PASSED
"tap(findTestObject(""SOW2-Market Order/android.view.View - I have read and agree to the BNM Foreign Exchange Rules, I accept the declaration as well as the Terms  Conditions for this transfer""), 0, CONTINUE_ON_FAILURE)",,Confirm Term & Condition,,2024-03-05 13:48:45,2024-03-05 13:48:46,0.356s,PASSED
utilities.Mobile_Keywords.scrollFromTopToBottom(),,,,2024-03-05 13:48:46,2024-03-05 13:48:53,6.756s,PASSED
"tap(findTestObject(""SOW2-Market Order/android.widget.Dynamic_Button"", [""text"":""Confirm""]), 0, CONTINUE_ON_FAILURE)",,,,2024-03-05 13:48:53,2024-03-05 13:48:53,0.342s,PASSED
"waitForElementPresent(findTestObject(""Global Account Page/dynamicText"", [""text"":""Transaction Successful""]), 0, CONTINUE_ON_FAILURE)",,Transaction successful page,,2024-03-05 13:48:53,2024-03-05 13:48:59,6.329s,PASSED
