Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Entry Point - Quick Action (1),,,,2024-03-05 15:33:09,2024-03-05 15:47:41,14m - 32.832s,FAILED
,,,,,,,
Test Cases/RETAILFX-SOW2 Market Order/Entry Point - Quick Action/SOW2 - G1A Account to G1A Account,,,,2024-03-05 15:33:09,2024-03-05 15:37:02,3m - 52.903s,FAILED
"startExistingApplication(""com.maybank2u.life.uat"")",,,,2024-03-05 15:33:10,2024-03-05 15:33:27,16.488s,PASSED
a = 8,,,,2024-03-05 15:33:27,2024-03-05 15:33:27,0.001s,PASSED
utilities.Entry_Point.Quick_Action(8),,,,2024-03-05 15:33:27,2024-03-05 15:34:58,1m - 31.127s,PASSED
"checkLinkedDevice = Validation.checkElementExists(""Object Repository/Market Order Page/android.widget.TextView - Enter your password"")",,Check for the 1st Login,,2024-03-05 15:34:58,2024-03-05 15:35:00,2.704s,PASSED
if (checkLinkedDevice == true),,Check is there is password page,,2024-03-05 15:35:00,2024-03-05 15:35:04,3.718s,PASSED
delay(10),,,,2024-03-05 15:35:04,2024-03-05 15:35:14,10.014s,PASSED
Validation.Terms_Condition(),,,,2024-03-05 15:35:14,2024-03-05 15:35:34,19.968s,PASSED
"tap(findTestObject(""SOW2-Market Order/android.widget.TextView _EditText""), 0, CONTINUE_ON_FAILURE)",,Tap on the Im converting,,2024-03-05 15:35:34,2024-03-05 15:35:39,4.618s,PASSED
"waitForElementPresent(findTestObject(""Object Repository/Calc_Pad/android.widget.Image""), 20, OPTIONAL)",,,,2024-03-05 15:35:39,2024-03-05 15:35:39,0.100s,PASSED
"digits = ""5000""",,,,2024-03-05 15:35:39,2024-03-05 15:35:39,0.000s,PASSED
currency_Numpad(digits),,,,2024-03-05 15:35:39,2024-03-05 15:35:39,0.004s,PASSED
digit_length = digits.length(),,,,2024-03-05 15:35:39,2024-03-05 15:35:39,0.001s,PASSED
"for ([i = 0, i < digit_length, (i++)])",,,,2024-03-05 15:35:39,2024-03-05 15:35:41,2.430s,PASSED
"tap(findTestObject(""Object Repository/Calc_Pad/android.widget.Image""), 5, OPTIONAL)",,,,2024-03-05 15:35:41,2024-03-05 15:35:42,0.682s,PASSED
delay(5),,,,2024-03-05 15:35:42,2024-03-05 15:35:47,5.012s,PASSED
"utilities.Mobile_Keywords.sow2market_orderdropdown(""US Dol"", ""USD - US Dollar"")",,Select USD,,2024-03-05 15:35:47,2024-03-05 15:35:51,3.902s,PASSED
"verifyElementExist(findTestObject(""Global Account Page/dynamicText"", [""text"":""Exchange rate""]), 5, CONTINUE_ON_FAILURE)",,Verify Exchange Rate,,2024-03-05 15:35:51,2024-03-05 15:35:52,1.001s,PASSED
"currency_TextMsg = getText(findTestObject(""General/android.widget.TextView _Conversion""), 0, CONTINUE_ON_FAILURE)",,,,2024-03-05 15:35:52,2024-03-05 15:35:52,0.091s,PASSED
comment(currency_TextMsg),,TC067 - Validate Exchange Rate value when amount 1 change,,2024-03-05 15:35:52,2024-03-05 15:35:52,0.012s,PASSED
roundedNumber = Validation.convertUSDToMYR(currency_TextMsg),,,,2024-03-05 15:35:52,2024-03-05 15:35:52,0.052s,PASSED
