Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Verify Account,,,,2024-03-06 09:37:03,2024-03-06 09:57:23,20m - 20.242s,FAILED
,,,,,,,
Test Cases/RETAILFX-SOW2 Market Order/Market and Account Selection Validation/SOW2 - Market Order Validation,,,,2024-03-06 09:37:03,2024-03-06 09:46:26,9m - 22.838s,FAILED
"startExistingApplication(""com.maybank2u.life.uat"")",,,,2024-03-06 09:37:04,2024-03-06 09:37:20,16.023s,PASSED
utilities.Entry_Point.Quick_Action(8),,,,2024-03-06 09:37:20,2024-03-06 09:38:49,1m - 28.540s,PASSED
"checkLinkedDevice = Validation.checkElementExists(""Object Repository/Market Order Page/android.widget.TextView - Enter your password"")",,,,2024-03-06 09:38:49,2024-03-06 09:38:52,2.931s,PASSED
if (checkLinkedDevice == true),,Check is there is password page,,2024-03-06 09:38:52,2024-03-06 09:38:56,3.903s,PASSED
delay(10),,,,2024-03-06 09:38:56,2024-03-06 09:39:06,10.013s,PASSED
Validation.Terms_Condition(),,,,2024-03-06 09:39:06,2024-03-06 09:39:16,10.104s,PASSED
"comment(""TC036"")",,TC036 -  Validate the currency dropdown ccy1,,2024-03-06 09:39:16,2024-03-06 09:39:16,0.026s,PASSED
delay(15),,,,2024-03-06 09:39:16,2024-03-06 09:39:31,15.013s,PASSED
"tap(findTestObject(""Object Repository/SOW2-Market Order/Convert_Dropdown/android.widget.TextView - Convert_Dropdown""), 5, OPTIONAL)",,,,2024-03-06 09:39:31,2024-03-06 09:39:31,0.276s,PASSED
"verifyElementExist(findTestObject(""Global Account Page/dynamicText"", [""text"":""MYR - Malaysian Ringgit""]), 5, CONTINUE_ON_FAILURE)",,,,2024-03-06 09:39:31,2024-03-06 09:39:32,0.913s,PASSED
"verifyElementExist(findTestObject(""Global Account Page/dynamicText"", [""text"":""USD - US Dollar""]), 5, CONTINUE_ON_FAILURE)",,,,2024-03-06 09:39:32,2024-03-06 09:39:32,0.162s,PASSED
"verifyElementExist(findTestObject(""Global Account Page/dynamicText"", [""text"":""GBP - British Pound Sterling""]), 5, CONTINUE_ON_FAILURE)",,,,2024-03-06 09:39:32,2024-03-06 09:39:32,0.156s,PASSED
takeScreenshot(),,,,2024-03-06 09:39:32,2024-03-06 09:39:33,0.547s,PASSED
"tap(findTestObject(""Global Account Page/dynamicText"", [""text"":""MYR - Malaysian Ringgit""]), 0, CONTINUE_ON_FAILURE)",,,,2024-03-06 09:39:33,2024-03-06 09:39:33,0.137s,PASSED
"waitForElementPresent(findTestObject(""Global Account Page/dynamicText"", [""text"":""Step 1 of 2""]), 5, CONTINUE_ON_FAILURE)",,,,2024-03-06 09:39:33,2024-03-06 09:39:34,0.884s,PASSED
"verifyElementExist(findTestObject(""Global Account Page/dynamicText"", [""text"":""Step 1 of 2""]), 5, CONTINUE_ON_FAILURE)",,,,2024-03-06 09:39:34,2024-03-06 09:39:34,0.099s,PASSED
"comment(""TC043 & TC045 - Validate the amount 1 field & Validate the converting amount default to 0.00"")",,,,2024-03-06 09:39:34,2024-03-06 09:39:34,0.002s,PASSED
"verifyElementText(findTestObject(""Object Repository/Calc_Pad/android.widget.EditText - 0.00""), ""0.00"", CONTINUE_ON_FAILURE)",,,,2024-03-06 09:39:34,2024-03-06 09:39:34,0.115s,PASSED
"comment(""TC048 and TC049"")",,Enter 0.01 Currency,,2024-03-06 09:39:34,2024-03-06 09:39:34,0.002s,PASSED
"tap(findTestObject(""Object Repository/Calc_Pad/android.widget.EditText - 0.00""), 5, CONTINUE_ON_FAILURE)",,,,2024-03-06 09:39:34,2024-03-06 09:39:34,0.113s,PASSED
delay(15),,,,2024-03-06 09:39:34,2024-03-06 09:39:49,15.012s,PASSED
"digits = ""1""",,,,2024-03-06 09:39:49,2024-03-06 09:39:49,0.001s,PASSED
currency_Numpad(digits),,,,2024-03-06 09:39:49,2024-03-06 09:39:49,0.010s,PASSED
digit_length = digits.length(),,,,2024-03-06 09:39:49,2024-03-06 09:39:49,0.004s,PASSED
"for ([i = 0, i < digit_length, (i++)])",,,,2024-03-06 09:39:49,2024-03-06 09:39:49,0.174s,PASSED
"tap(findTestObject(""Object Repository/Calc_Pad/android.widget.Image""), 5, OPTIONAL)",,,,2024-03-06 09:39:49,2024-03-06 09:39:51,1.616s,PASSED
"waitForElementPresent(findTestObject(""Global Account Page/dynamicText"", [""text"":""The minimum amount is MYR1.00.""]), 5, OPTIONAL)",,,,2024-03-06 09:39:51,2024-03-06 09:39:56,5.148s,PASSED
"verifyElementExist(findTestObject(""Global Account Page/dynamicText"", [""text"":""The minimum amount is MYR1.00.""]), 5, OPTIONAL)",,,,2024-03-06 09:39:56,2024-03-06 09:40:01,5.120s,PASSED
takeScreenshot(),,,,2024-03-06 09:40:01,2024-03-06 09:40:02,0.434s,PASSED
delay(10),,,,2024-03-06 09:40:02,2024-03-06 09:40:12,10.023s,PASSED
"comment(""TC052"")",,TC052,,2024-03-06 09:40:12,2024-03-06 09:40:12,0.004s,PASSED
"tap(findTestObject(""SOW2-Market Order/android.widget.TextView _EditText""), 0, CONTINUE_ON_FAILURE)",,,,2024-03-06 09:40:12,2024-03-06 09:40:13,1.093s,PASSED
delay(15),,,,2024-03-06 09:40:13,2024-03-06 09:40:28,15.035s,PASSED
"digits1 = ""1000000000""",,,,2024-03-06 09:40:28,2024-03-06 09:40:28,0.001s,PASSED
currency_Numpad(digits1),,,,2024-03-06 09:40:28,2024-03-06 09:40:28,0.001s,PASSED
digit_length = digits.length(),,,,2024-03-06 09:40:28,2024-03-06 09:40:28,0.000s,PASSED
"for ([i = 0, i < digit_length, (i++)])",,,,2024-03-06 09:40:28,2024-03-06 09:41:20,52.220s,PASSED
