Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Push_Notification,,,,2024-03-07 11:45:56,2024-03-07 11:50:12,4m - 16.278s,FAILED
,,,,,,,
Test Cases/RETAILFX-SOW2 Market Order/Entry Point - Quick Action/Push Notification,,,,2024-03-07 11:45:56,2024-03-07 11:50:12,4m - 15.827s,FAILED
"startExistingApplication(""com.maybank2u.life.uat"")",,,,2024-03-07 11:45:57,2024-03-07 11:46:16,18.924s,PASSED
a = 8,,,,2024-03-07 11:46:16,2024-03-07 11:46:16,0.001s,PASSED
utilities.Entry_Point.Quick_Action(8),,,,2024-03-07 11:46:16,2024-03-07 11:47:42,1m - 26.266s,PASSED
"checkLinkedDevice = Validation.checkElementExists(""Object Repository/Market Order Page/android.widget.TextView - Enter your password"")",,Check for the 1st Login,,2024-03-07 11:47:42,2024-03-07 11:47:45,2.671s,PASSED
if (checkLinkedDevice == true),,Check is there is password page,,2024-03-07 11:47:45,2024-03-07 11:47:49,3.655s,PASSED
delay(10),,,,2024-03-07 11:47:49,2024-03-07 11:47:59,10.015s,PASSED
Validation.Terms_Condition(),,,,2024-03-07 11:47:59,2024-03-07 11:48:19,19.934s,PASSED
"tap(findTestObject(""SOW2-Market Order/android.widget.TextView _EditText""), 0, CONTINUE_ON_FAILURE)",,Tap on the Im converting,,2024-03-07 11:48:19,2024-03-07 11:48:24,5.639s,PASSED
"waitForElementPresent(findTestObject(""Object Repository/Calc_Pad/android.widget.Image""), 20, OPTIONAL)",,,,2024-03-07 11:48:24,2024-03-07 11:48:25,0.998s,PASSED
"digits = ""5000""",,,,2024-03-07 11:48:25,2024-03-07 11:48:25,0.001s,PASSED
currency_Numpad(digits),,,,2024-03-07 11:48:25,2024-03-07 11:48:25,0.005s,PASSED
digit_length = digits.length(),,,,2024-03-07 11:48:25,2024-03-07 11:48:25,0.001s,PASSED
"for ([i = 0, i < digit_length, (i++)])",,,,2024-03-07 11:48:25,2024-03-07 11:48:28,2.376s,PASSED
"tap(findTestObject(""Object Repository/Calc_Pad/android.widget.Image""), 5, OPTIONAL)",,,,2024-03-07 11:48:28,2024-03-07 11:48:28,0.715s,PASSED
delay(5),,,,2024-03-07 11:48:28,2024-03-07 11:48:33,5.012s,PASSED
"utilities.Mobile_Keywords.sow2market_orderdropdown(""US Dol"", ""USD - US Dollar"")",,Select USD,,2024-03-07 11:48:33,2024-03-07 11:48:38,4.076s,PASSED
"verifyElementExist(findTestObject(""Global Account Page/dynamicText"", [""text"":""Exchange rate""]), 5, CONTINUE_ON_FAILURE)",,Verify Exchange Rate,,2024-03-07 11:48:38,2024-03-07 11:48:39,0.958s,PASSED
"currency_TextMsg = getText(findTestObject(""General/android.widget.TextView _Conversion""), 0, CONTINUE_ON_FAILURE)",,,,2024-03-07 11:48:39,2024-03-07 11:48:39,0.126s,PASSED
comment(currency_TextMsg),,TC067 - Validate Exchange Rate value when amount 1 change,,2024-03-07 11:48:39,2024-03-07 11:48:39,0.016s,PASSED
roundedNumber = Validation.convertUSDToMYR(currency_TextMsg),,,,2024-03-07 11:48:39,2024-03-07 11:48:39,0.044s,PASSED
"verifyElementExist(findTestObject(""Global Account Page/dynamicText"", [""text"":""Conversion fee""]), 5, CONTINUE_ON_FAILURE)",,Verify the Coversion Fee,,2024-03-07 11:48:39,2024-03-07 11:48:39,0.156s,PASSED
"Conversion_Fee = getText(findTestObject(""SOW2-Market Order/ConversionFee_Text""), 5, CONTINUE_ON_FAILURE)",,get Conversion Fee,,2024-03-07 11:48:39,2024-03-07 11:48:39,0.101s,PASSED
